decision_date,effective_start_date,effective_end_date,window_start_date,window_end_date,window_observations,fund_id,universe,method,solver,one_way_turnover,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight
2021-03-31,2021-04-01,2021-04-30,2020-01-03,2021-03-31,313,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03033769110543321,0.03355426618943906,53.63942988995606,,
2021-04-30,2021-05-03,2021-05-28,2020-01-03,2021-04-30,334,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.058207236353628844,0.03301922066516959,53.5640816438747,,
2021-05-28,2021-06-01,2021-06-30,2020-01-03,2021-05-28,354,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.035466801811120025,0.032812854174894025,52.96322909013719,,
2021-06-30,2021-07-01,2021-07-30,2020-01-03,2021-06-30,376,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.034648271608425665,0.03274236738412502,52.928180170730386,,
2021-07-30,2021-08-02,2021-08-31,2020-01-03,2021-07-30,397,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.02077634940260413,0.03278642864071921,52.86390375674549,,
2021-08-31,2021-09-01,2021-09-30,2020-01-03,2021-08-31,419,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.029837653083314073,0.032865295854962166,52.81022909150286,,
2021-09-30,2021-10-01,2021-10-29,2020-01-03,2021-09-30,440,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.023648948126208935,0.03286903316345331,52.71174045055201,,
2021-10-29,2021-11-01,2021-11-30,2020-01-03,2021-10-29,461,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03474509477465657,0.03289623540697458,52.66892537059232,,
2021-11-30,2021-12-01,2021-12-31,2020-01-03,2021-11-30,482,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03208963115973356,0.03302053303343582,52.61445689230357,,
2021-12-31,2022-01-03,2022-01-31,2020-01-03,2021-12-31,504,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.030006726392239343,0.033278702710336984,52.50238835317119,,
2022-01-31,2022-02-01,2022-02-28,2020-01-03,2022-01-31,524,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.04023978383421955,0.03321387715732765,52.44229501032923,,
2022-02-28,2022-03-01,2022-03-31,2020-01-03,2022-02-28,543,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03471202114360228,0.03368154090978701,52.29908124517583,,
2022-03-31,2022-04-01,2022-04-29,2020-01-03,2022-03-31,566,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.028272741795401735,0.0347813988993073,52.21669629102571,,
2022-04-29,2022-05-02,2022-05-31,2020-01-03,2022-04-29,586,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03800775500423826,0.03426140187977409,52.30647803922876,,
2022-05-31,2022-06-01,2022-06-30,2020-01-03,2022-05-31,607,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.04664225456917666,0.0336431375615878,52.124695761540934,,
2022-06-30,2022-07-01,2022-07-29,2020-01-03,2022-06-30,628,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.037885581039605924,0.03378504816263749,52.06861489244477,,
2022-07-29,2022-08-01,2022-08-31,2020-01-03,2022-07-29,648,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03601368890530948,0.033571680567998426,52.034230058955615,,
2022-08-31,2022-09-01,2022-09-30,2020-01-03,2022-08-31,671,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.022078463791932342,0.033288113200235114,52.07886161191315,,
2022-09-30,2022-10-03,2022-10-31,2020-01-03,2022-09-30,692,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03440689594945842,0.032558771395834414,52.274687130019366,,
2022-10-31,2022-11-01,2022-11-30,2020-01-03,2022-10-31,713,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03633992037088868,0.032072285038062705,52.50429160920035,,
2022-11-30,2022-12-01,2022-12-30,2020-01-03,2022-11-30,734,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.031062723091168483,0.03217273595826587,52.473126309184714,,
2022-12-30,2023-01-03,2023-01-31,2020-01-03,2022-12-30,755,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.023333098060897058,0.031962963334583115,52.51074880577718,,
2023-01-31,2023-02-01,2023-02-28,2020-01-03,2023-01-31,775,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03533370555358514,0.03190852970356265,52.53191436388504,,
2023-02-28,2023-03-01,2023-03-31,2020-01-03,2023-02-28,794,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.019882697886835925,0.03201013527313351,52.54294107398403,,
2023-03-31,2023-04-03,2023-04-28,2020-01-03,2023-03-31,817,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.0276330391505603,0.0319772668998295,52.52643420864765,,
2023-04-28,2023-05-01,2023-05-31,2020-01-03,2023-04-28,836,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.02054790563925217,0.03202423656787279,52.54193272085035,,
2023-05-31,2023-06-01,2023-06-30,2020-01-03,2023-05-31,858,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.027390555327644433,0.03208766222095947,52.53358376163744,,
2023-06-30,2023-07-03,2023-07-31,2020-01-03,2023-06-30,879,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.03009020140124785,0.03213658522444317,52.5241295568625,,
2023-07-31,2023-08-01,2023-08-31,2020-01-03,2023-07-31,899,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.02586514434750252,0.03225598303801187,52.49707236862869,,
2023-08-31,2023-09-01,2023-09-29,2020-01-03,2023-08-31,922,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.02706719799617981,0.032234215935596916,52.518893041492554,,
2023-09-29,2023-10-02,2023-10-31,2020-01-03,2023-09-29,942,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.02236378118791325,0.032244852858071014,52.544338274592604,,
2023-10-31,2023-11-01,2023-11-30,2020-01-03,2023-10-31,964,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.023124262496376786,0.032357446131791694,52.60320473415097,,
2023-11-30,2023-12-01,2023-12-29,2020-01-03,2023-11-30,985,combined_risk_parity,Combined,risk_parity,SLSQP_risk_contribution,0.030955690228463832,0.03244660050999839,52.63616346564162,,
2020-12-31,2021-01-01,2021-01-31,2020-01-02,2020-12-31,365,crypto_equal_weight,Crypto,equal_weight,direct,,0.1,9.999999999999996,,
2021-01-31,2021-02-01,2021-02-28,2020-01-02,2021-01-31,396,crypto_equal_weight,Crypto,equal_weight,direct,0.1443455128724216,0.1,9.999999999999996,,
2021-02-28,2021-03-01,2021-03-31,2020-01-02,2021-02-28,424,crypto_equal_weight,Crypto,equal_weight,direct,0.15533662429037423,0.1,9.999999999999996,,
2021-03-31,2021-04-01,2021-04-30,2020-01-02,2021-03-31,455,crypto_equal_weight,Crypto,equal_weight,direct,0.07270729548497028,0.1,9.999999999999996,,
2021-04-30,2021-05-01,2021-05-31,2020-01-02,2021-04-30,485,crypto_equal_weight,Crypto,equal_weight,direct,0.144162226528111,0.1,9.999999999999996,,
2021-05-31,2021-06-01,2021-06-30,2020-01-02,2021-05-31,516,crypto_equal_weight,Crypto,equal_weight,direct,0.16360572693964287,0.1,9.999999999999996,,
2021-06-30,2021-07-01,2021-07-31,2020-01-02,2021-06-30,546,crypto_equal_weight,Crypto,equal_weight,direct,0.04903731964210506,0.1,9.999999999999996,,
2021-07-31,2021-08-01,2021-08-31,2020-01-02,2021-07-31,577,crypto_equal_weight,Crypto,equal_weight,direct,0.031834343635401136,0.1,9.999999999999996,,
2021-08-31,2021-09-01,2021-09-30,2020-01-02,2021-08-31,608,crypto_equal_weight,Crypto,equal_weight,direct,0.07355296539279194,0.1,9.999999999999996,,
2021-09-30,2021-10-01,2021-10-31,2020-01-02,2021-09-30,638,crypto_equal_weight,Crypto,equal_weight,direct,0.04128786692208689,0.1,9.999999999999996,,
2021-10-31,2021-11-01,2021-11-30,2020-01-02,2021-10-31,669,crypto_equal_weight,Crypto,equal_weight,direct,0.04512425976376995,0.1,9.999999999999996,,
2021-11-30,2021-12-01,2021-12-31,2020-01-02,2021-11-30,699,crypto_equal_weight,Crypto,equal_weight,direct,0.03570105123091291,0.1,9.999999999999996,,
2021-12-31,2022-01-01,2022-01-31,2020-01-02,2021-12-31,730,crypto_equal_weight,Crypto,equal_weight,direct,0.02441094978075995,0.1,9.999999999999996,,
2022-01-31,2022-02-01,2022-02-28,2020-01-02,2022-01-31,761,crypto_equal_weight,Crypto,equal_weight,direct,0.02102647982226584,0.1,9.999999999999996,,
