decision_date,effective_start_date,effective_end_date,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,one_way_turnover,one_way_active_shift_from_base,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight,earliest_signal_source_date,latest_signal_source_date,variant_label
2022-03-31,2022-04-01,2022-04-29,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.08148374341419436,0.0326559374929707,0.23585596993229577,4.896253595429272,0.9999999999999999,0.0,2022-03-30,2022-03-30,Naive Sentiment
2022-04-29,2022-05-02,2022-05-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.0568060226423173,0.026297021466412013,0.23017412660347036,4.928754752864172,0.9999999999999998,0.0,2022-04-28,2022-04-28,Naive Sentiment
2022-05-31,2022-06-01,2022-06-30,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.09915439493489986,0.04773880451923833,0.3122668072880772,4.730106857472967,0.9999999999999998,0.0,2022-05-27,2022-05-27,Naive Sentiment
2022-06-30,2022-07-01,2022-07-29,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.19004885243757086,0.039803595116033326,0.4728181417109348,3.563375170185825,0.9999999999999999,0.0,2022-06-29,2022-06-29,Naive Sentiment
2022-07-29,2022-08-01,2022-08-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.24782480316556826,0.021488099466668176,0.3273864559256348,4.271924567534971,1.0000000000000002,0.0,2022-07-28,2022-07-28,Naive Sentiment
2022-08-31,2022-09-01,2022-09-30,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.1420706511655034,0.028335523439676408,0.2625439911684093,5.211688842538716,1.0000000000000002,0.0,2022-08-30,2022-08-30,Naive Sentiment
2022-09-30,2022-10-03,2022-10-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.18513304587516652,0.039599970577633946,0.40220367177157085,4.126525441243193,1.0,0.0,2022-09-29,2022-09-29,Naive Sentiment
2022-10-31,2022-11-01,2022-11-30,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.06908633730255459,0.03721997986717962,0.3985190836346889,4.1531235793692,1.0,0.0,2022-10-28,2022-10-28,Naive Sentiment
2022-11-30,2022-12-01,2022-12-30,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.1942832055800372,0.035232109314970464,0.4585685985319169,3.569264765586264,1.0,0.0,2022-11-29,2022-11-29,Naive Sentiment
2022-12-30,2023-01-03,2023-01-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.07857763981664782,0.02483648755952449,0.5171561298134045,3.0756460280403712,1.0,0.0,2022-12-29,2022-12-29,Naive Sentiment
2023-01-31,2023-02-01,2023-02-28,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.13006093352406234,0.024356412295317632,0.36860802853823077,4.121168306647466,1.0,0.0,2023-01-30,2023-01-30,Naive Sentiment
2023-02-28,2023-03-01,2023-03-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.13099070776591062,0.01659735542280186,0.42695957431694126,3.103772640254276,0.9999999999999998,0.0,2023-02-27,2023-02-27,Naive Sentiment
2023-03-31,2023-04-03,2023-04-28,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.06465326220334772,0.02752103015560285,0.4182222177894907,3.2149070766059578,1.0,0.0,2023-03-30,2023-03-30,Naive Sentiment
2023-04-28,2023-05-01,2023-05-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.07357324213552088,0.007295101336111548,0.3959705298270446,3.5248467057020605,1.0,0.0,2023-04-27,2023-04-27,Naive Sentiment
2023-05-31,2023-06-01,2023-06-30,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.06904705758736765,0.024374456060664136,0.39726584271837256,2.9855443261958605,0.9999999999999999,0.0,2023-05-30,2023-05-30,Naive Sentiment
2023-06-30,2023-07-03,2023-07-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.06360255742565303,0.032272037984243565,0.41535857444867325,3.139502032217015,1.0000000000000002,0.0,2023-06-29,2023-06-29,Naive Sentiment
2023-07-31,2023-08-01,2023-08-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.05563603067398494,0.060574224492145674,0.45265250378453004,2.7577389656406317,1.0000000000000002,0.0,2023-07-28,2023-07-28,Naive Sentiment
2023-08-31,2023-09-01,2023-09-29,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.05514837321845594,0.024127865008262986,0.41377249579878744,2.9412853196888156,0.9999999999999999,0.0,2023-08-30,2023-08-30,Naive Sentiment
