observations,total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,max_drawdown,final_growth_of_one,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,variant_label,evaluation_period,period_start,period_end,rebalance_count,average_one_way_turnover,average_one_way_active_shift_from_base,latest_effective_number_of_holdings,primary_base_fund,primary_fusion_rule,base_annualized_return,base_annualized_volatility,base_sharpe_ratio,base_max_drawdown,base_total_return,base_average_one_way_turnover,delta_annualized_return,delta_annualized_volatility,delta_sharpe_ratio,delta_max_drawdown,delta_total_return,delta_average_one_way_turnover,method_label
503,0.158624173244875,0.08294861773617013,0.07655160769388503,0.13553966801731102,0.611987759373706,-0.18418848564175416,1.158624173244875,combined_minimum_variance,combined_minimum_variance_coverage_rank_sentiment,Combined,minimum_variance,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.07335607247022423,0.046205819237289086,8.631354361307038,False,True,0.0845249456109316,0.1355170391194722,0.6237219036081078,-0.17995001821664847,0.1622836597352164,0.03520740456276555,-0.001576327874761474,2.262889783882782e-05,-0.011734144234401778,-0.004238467425105696,-0.0036594864903414237,0.03814866790745868,Minimum Variance
503,0.1606416534937043,0.08379247690871476,0.07749034820176193,0.13533610401587595,0.6191435575748897,-0.17972473839018477,1.1606416534937043,combined_minimum_variance,combined_minimum_variance_naive_sentiment,Combined,minimum_variance,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.05407535732092825,0.03073778298403147,8.603639223291836,False,False,0.0845249456109316,0.1355170391194722,0.6237219036081078,-0.17995001821664847,0.1622836597352164,0.03520740456276555,-0.0007324687022168402,-0.00018093510359623588,-0.00457834603321805,0.00022527982646369793,-0.0016420062415121173,0.0188679527581627,Minimum Variance
503,0.21773728554648786,0.11727061815689276,0.10372745387930316,0.19266524805443858,0.6086755101976529,-0.22384241904565572,1.2177372855464879,combined_risk_parity,combined_risk_parity,Combined,risk_parity,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.03565267919908212,0.0,52.473126309184714,False,False,0.11727061815689276,0.19266524805443858,0.6086755101976529,-0.22384241904565572,0.21773728554648786,0.03565267919908212,0.0,0.0,0.0,0.0,0.0,0.0,Risk Parity
503,0.2107812578879149,0.11419222470926377,0.10056428488833835,0.1915770883755257,0.5960640997185759,-0.21974788253624422,1.210781257887915,combined_risk_parity,combined_risk_parity_coverage_rank_sentiment,Combined,risk_parity,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.06963182624739207,0.044715380992861965,50.95248431156828,False,True,0.11727061815689276,0.19266524805443858,0.6086755101976529,-0.22384241904565572,0.21773728554648786,0.03565267919908212,-0.003078393447628988,-0.0010881596789128756,-0.01261141047907699,0.004094536509411495,-0.00695602765857295,0.033979147048309954,Risk Parity
503,0.21264357775452436,0.11507754291036365,0.10141203915990848,0.1921793936127944,0.5988027162902981,-0.22008251088927777,1.2126435777545244,combined_risk_parity,combined_risk_parity_naive_sentiment,Combined,risk_parity,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.055326778086788805,0.03181918579245405,51.641131223011364,False,False,0.11727061815689276,0.19266524805443858,0.6086755101976529,-0.22384241904565572,0.21773728554648786,0.03565267919908212,-0.0021930752465291053,-0.00048585444164417346,-0.009872793907354738,0.0037599081563779446,-0.005093707791963498,0.019674098887706687,Risk Parity
503,0.21638038810610105,0.11319334798573708,0.10311113054375998,0.17354447751879673,0.6522440218443541,-0.20249210152511687,1.216380388106101,equity_equal_weight,equity_equal_weight,Equity,equal_weight,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.02892047589096137,0.0,49.99999999999999,False,False,0.11319334798573708,0.17354447751879673,0.6522440218443541,-0.20249210152511687,0.21638038810610105,0.02892047589096137,0.0,0.0,0.0,0.0,0.0,0.0,Equal Weight
503,0.20495540609745944,0.10821809643743915,0.09790806493050219,0.1721065708194574,0.6287853852538943,-0.1965819725024216,1.2049554060974594,equity_equal_weight,equity_equal_weight_coverage_rank_sentiment,Equity,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.06585878031738117,0.0498398442965504,49.52878040620268,False,True,0.11319334798573708,0.17354447751879673,0.6522440218443541,-0.20249210152511687,0.21638038810610105,0.02892047589096137,-0.004975251548297921,-0.0014379066993393252,-0.02345863659045988,0.005910129022695276,-0.011424982008641615,0.036938304426419794,Equal Weight
503,0.2067224876041247,0.10910236143926337,0.0987144181377142,0.1729832781927808,0.6307104512013844,-0.19811552328893134,1.2067224876041247,equity_equal_weight,equity_equal_weight_naive_sentiment,Equity,equal_weight,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.05000898009628118,0.035435700160953744,49.691560916186056,False,False,0.11319334798573708,0.17354447751879673,0.6522440218443541,-0.20249210152511687,0.21638038810610105,0.02892047589096137,-0.004090986546473704,-0.0005611993260159209,-0.02153357064296979,0.004376578236185535,-0.009657900501976346,0.021088504205319807,Equal Weight
503,0.04515632277930104,0.054358021727792846,0.022373756462395145,0.2542455082555252,0.21380130607130027,-0.37674775139463845,1.045156322779301,equity_maximum_sharpe,equity_maximum_sharpe,Equity,maximum_sharpe,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.16687016353903614,0.0,3.728361847934235,False,False,0.054358021727792846,0.2542455082555252,0.21380130607130027,-0.37674775139463845,0.04515632277930104,0.16687016353903614,0.0,0.0,0.0,0.0,0.0,0.0,Maximum Sharpe
503,0.07245549976396859,0.06768853755346325,0.03566628490225221,0.2559463840371325,0.26446373840406767,-0.3703005444947228,1.0724554997639686,equity_maximum_sharpe,equity_maximum_sharpe_coverage_rank_sentiment,Equity,maximum_sharpe,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.17501529712113328,0.04450279004656554,3.426279501088153,False,True,0.054358021727792846,0.2542455082555252,0.21380130607130027,-0.37674775139463845,0.04515632277930104,0.16687016353903614,0.013330515825670408,0.0017008757816072695,0.050662432332767404,0.006447206899915625,0.02729917698466755,0.008145133582097147,Maximum Sharpe
503,0.06421751252581642,0.06418635919382469,0.03167301212251261,0.25735537165644495,0.24940749742542734,-0.3709470601099728,1.0642175125258164,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.17357225470115137,0.03397908233314983,3.569264765586264,False,False,0.054358021727792846,0.2542455082555252,0.21380130607130027,-0.37674775139463845,0.04515632277930104,0.16687016353903614,0.009828337466031845,0.0031098634009197323,0.03560619135412707,0.005800691284665649,0.019061189746515383,0.006702091162115231,Maximum Sharpe
503,0.16228370618744115,0.08452496617216869,0.07825380006636107,0.13551704342975027,0.6237220354942661,-0.17995004219487476,1.1622837061874411,equity_minimum_variance,equity_minimum_variance,Equity,minimum_variance,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.03520755091123561,0.0,8.716399597934132,False,False,0.08452496617216869,0.13551704342975027,0.6237220354942661,-0.17995004219487476,0.16228370618744115,0.03520755091123561,0.0,0.0,0.0,0.0,0.0,0.0,Minimum Variance
503,0.15862423572229822,0.08294864528121329,0.07655163677746946,0.13553967229138056,0.6119879433004081,-0.18418848513086727,1.1586242357222982,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.0733559925765534,0.04620582674394846,8.63135915728826,False,True,0.08452496617216869,0.13551704342975027,0.6237220354942661,-0.17995004219487476,0.16228370618744115,0.03520755091123561,-0.0015763208909553988,2.2628861630291652e-05,-0.011734092193858014,-0.004238442935992515,-0.003659470465142922,0.038148441665317785,Minimum Variance
503,0.16064175276532477,0.08379252020455115,0.07749039437314598,0.13533610762730586,0.6191438609665237,-0.17972475034636448,1.1606417527653248,equity_minimum_variance,equity_minimum_variance_naive_sentiment,Equity,minimum_variance,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.054075457041096515,0.030737775257914362,8.603643028891629,False,False,0.08452496617216869,0.13551704342975027,0.6237220354942661,-0.17995004219487476,0.16228370618744115,0.03520755091123561,-0.0007324459676175399,-0.00018093580244440965,-0.00457817452774234,0.0002252918485102784,-0.0016419534221163712,0.018867906129860904,Minimum Variance
503,0.16912728480065997,0.09108655109235594,0.08142985534352154,0.16004971237225002,0.5691141192462952,-0.19395230461104163,1.16912728480066,equity_risk_parity,equity_risk_parity,Equity,risk_parity,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,24,0.027266996877171264,0.0,45.771393614641106,False,False,0.09108655109235594,0.16004971237225002,0.5691141192462952,-0.19395230461104163,0.16912728480065997,0.027266996877171264,0.0,0.0,0.0,0.0,0.0,0.0,Risk Parity
503,0.16115308452464783,0.08745236397567221,0.07772818942370963,0.15875586667281286,0.55086067563038,-0.18934207791096225,1.1611530845246478,equity_risk_parity,equity_risk_parity_coverage_rank_sentiment,Equity,risk_parity,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.06607940958037284,0.04930370039450251,44.4430915042543,False,True,0.09108655109235594,0.16004971237225002,0.5691141192462952,-0.19395230461104163,0.16912728480065997,0.027266996877171264,-0.003634187116683729,-0.0012938456994371628,-0.018253443615915188,0.004610226700079378,-0.007974200276012144,0.03881241270320157,Risk Parity
503,0.16331187720335483,0.08850217842307198,0.07873156133320447,0.15950869894383707,0.5548423315410124,-0.189715406415376,1.1633118772033548,equity_risk_parity,equity_risk_parity_naive_sentiment,Equity,risk_parity,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,24,0.04993627602042834,0.03509852629292708,45.02620590752706,False,False,0.09108655109235594,0.16004971237225002,0.5691141192462952,-0.19395230461104163,0.16912728480065997,0.027266996877171264,-0.002584372669283963,-0.0005410134284129509,-0.014271787705282812,0.004236898195665639,-0.0058154075973051444,0.022669279143257077,Risk Parity
753,0.5236892003153522,0.16433693011443073,0.1513526195518089,0.2160038524438884,0.7608055516376531,-0.2787245867171566,1.5236892003153522,combined_equal_weight,combined_equal_weight,Combined,equal_weight,base,0.0,Base Fund,full_oos,2021-01-04,2023-12-29,36,0.03857279968817224,0.0,60.000000000000014,False,False,0.16433693011443073,0.2160038524438884,0.7608055516376531,-0.2787245867171566,0.5236892003153522,0.03857279968817224,0.0,0.0,0.0,0.0,0.0,0.0,Equal Weight
753,0.5182441251320711,0.16296480836605234,0.14997401905390717,0.2151939157044991,0.7572928250900599,-0.27349779224938353,1.518244125132071,combined_equal_weight,combined_equal_weight_coverage_rank_sentiment,Combined,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,full_oos,2021-01-04,2023-12-29,36,0.07359603773377782,0.04374407188719908,58.99984277284528,False,True,0.16433693011443073,0.2160038524438884,0.7608055516376531,-0.2787245867171566,0.5236892003153522,0.03857279968817224,-0.001372121748378391,-0.0008099367393892831,-0.003512726547593159,0.005226794467773077,-0.005445075183281078,0.03502323804560558,Equal Weight
