observations,total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,max_drawdown,final_growth_of_one,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,variant_label,evaluation_period,period_start,period_end,cost_bps,total_one_way_turnover,average_one_way_turnover,charged_rebalance_count,initial_formation_cost_included,cost_model,base_total_return,base_sharpe_ratio,base_max_drawdown,delta_total_return,delta_sharpe_ratio,delta_max_drawdown,method_label
503,-0.009503701027264166,0.07853164990271692,-0.004772641462856497,0.4087269366309897,0.19213720179548022,-0.5169718995116073,0.9904962989727358,combined_maximum_sharpe,combined_maximum_sharpe_naive_sentiment,Combined,maximum_sharpe,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,4.333686797330221,0.18842116510131393,23,False,one_way_turnover_times_cost_bps,-0.029168147928566368,0.16700098428035096,-0.5210003618413179,0.0196644469013022,0.02513621751512926,0.004028462329710658,Maximum Sharpe
503,-0.03330495594301364,0.06595395024366658,-0.016826592779323746,0.4077766498775203,0.16174037984636072,-0.52190940996383,0.9666950440569864,combined_maximum_sharpe,combined_maximum_sharpe,Combined,maximum_sharpe,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,10.0,4.269767643287047,0.18564207144726289,23,False,one_way_turnover_times_cost_bps,-0.03330495594301364,0.16174037984636072,-0.52190940996383,0.0,0.0,0.0,Maximum Sharpe
503,-0.011465921929719736,0.07724946472692701,-0.005760886686566935,0.40802201716323094,0.18932670659295092,-0.5177067402674473,0.9885340780702803,combined_maximum_sharpe,combined_maximum_sharpe_coverage_rank_sentiment,Combined,maximum_sharpe,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,4.329030633531098,0.18821872319700428,23,False,one_way_turnover_times_cost_bps,-0.03330495594301364,0.16174037984636072,-0.52190940996383,0.0218390340132939,0.0275863267465902,0.0042026696963826105,Maximum Sharpe
503,-0.013787359452397618,0.0763498927454145,-0.006931311289156694,0.4087013466817502,0.1868109644494689,-0.5179156783960139,0.9862126405476024,combined_maximum_sharpe,combined_maximum_sharpe_naive_sentiment,Combined,maximum_sharpe,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,4.333686797330221,0.18842116510131393,23,False,one_way_turnover_times_cost_bps,-0.03330495594301364,0.16174037984636072,-0.52190940996383,0.019517596490616018,0.02507058460310818,0.003993731567816017,Maximum Sharpe
503,-0.04968489992952263,0.057356799866271506,-0.025208317968641536,0.40768787142823604,0.14068802112100073,-0.5261497198788666,0.9503151000704774,combined_maximum_sharpe,combined_maximum_sharpe,Combined,maximum_sharpe,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,50.0,4.269767643287047,0.18564207144726289,23,False,one_way_turnover_times_cost_bps,-0.04968489992952263,0.14068802112100073,-0.5261497198788666,0.0,0.0,0.0,Maximum Sharpe
503,-0.028446628864235435,0.06853090400100843,-0.014354206155793858,0.40792799042157835,0.16799755253417228,-0.5215182599272423,0.9715533711357646,combined_maximum_sharpe,combined_maximum_sharpe_coverage_rank_sentiment,Combined,maximum_sharpe,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,50.0,4.329030633531098,0.18821872319700428,23,False,one_way_turnover_times_cost_bps,-0.04968489992952263,0.14068802112100073,-0.5261497198788666,0.021238271065287195,0.02730953141317155,0.004631459951624284,Maximum Sharpe
503,-0.030746297037926862,0.0676228641162041,-0.015523728844010876,0.4086097040542447,0.16549500279911825,-0.5216743972213453,0.9692537029620731,combined_maximum_sharpe,combined_maximum_sharpe_naive_sentiment,Combined,maximum_sharpe,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,50.0,4.333686797330221,0.18842116510131393,23,False,one_way_turnover_times_cost_bps,-0.04968489992952263,0.14068802112100073,-0.5261497198788666,0.018938602891595768,0.024806981678117512,0.0044753226575212635,Maximum Sharpe
503,0.1622836597352164,0.0845249456109316,0.07825377847659554,0.1355170391194722,0.6237219036081078,-0.17995001821664847,1.1622836597352164,combined_minimum_variance,combined_minimum_variance,Combined,minimum_variance,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,0.0,0.8097703049436076,0.03520740456276555,23,False,one_way_turnover_times_cost_bps,0.1622836597352164,0.6237219036081078,-0.17995001821664847,0.0,0.0,0.0,Minimum Variance
503,0.158624173244875,0.08294861773617013,0.07655160769388503,0.13553966801731102,0.611987759373706,-0.18418848564175416,1.158624173244875,combined_minimum_variance,combined_minimum_variance_coverage_rank_sentiment,Combined,minimum_variance,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,1.6871896668151571,0.07335607247022423,23,False,one_way_turnover_times_cost_bps,0.1622836597352164,0.6237219036081078,-0.17995001821664847,-0.0036594864903414237,-0.011734144234401778,-0.004238467425105696,Minimum Variance
503,0.1606416534937043,0.08379247690871476,0.07749034820176193,0.13533610401587595,0.6191435575748897,-0.17972473839018477,1.1606416534937043,combined_minimum_variance,combined_minimum_variance_naive_sentiment,Combined,minimum_variance,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,1.2437332183813496,0.05407535732092825,23,False,one_way_turnover_times_cost_bps,0.1622836597352164,0.6237219036081078,-0.17995001821664847,-0.0016420062415121173,-0.00457834603321805,0.00022527982646369793,Minimum Variance
503,0.161342838653167,0.0841182224380027,0.07781642136712619,0.13551023339230628,0.6207518084223046,-0.18014487397500356,1.161342838653167,combined_minimum_variance,combined_minimum_variance,Combined,minimum_variance,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,10.0,0.8097703049436076,0.03520740456276555,23,False,one_way_turnover_times_cost_bps,0.161342838653167,0.6207518084223046,-0.18014487397500356,0.0,0.0,0.0,Minimum Variance
503,0.15667092411222372,0.08210067570244561,0.07564197669233508,0.13552173756473598,0.6058118585088815,-0.1844720564341894,1.1566709241122237,combined_minimum_variance,combined_minimum_variance_coverage_rank_sentiment,Combined,minimum_variance,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,1.6871896668151571,0.07335607247022423,23,False,one_way_turnover_times_cost_bps,0.161342838653167,0.6207518084223046,-0.18014487397500356,-0.004671914540943289,-0.014939949913423067,-0.004327182459185841,Minimum Variance
503,0.15919898012707545,0.08316733642308216,0.07681915035107112,0.1353223160659023,0.6145870011756188,-0.17997251830378214,1.1591989801270755,combined_minimum_variance,combined_minimum_variance_naive_sentiment,Combined,minimum_variance,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,1.2437332183813496,0.05407535732092825,23,False,one_way_turnover_times_cost_bps,0.161342838653167,0.6207518084223046,-0.18014487397500356,-0.0021438585260915577,-0.006164807246685777,0.0001723556712214247,Minimum Variance
503,0.1575867797807684,0.08249132974628716,0.07606858739279243,0.1354841926308605,0.6088631311480195,-0.18092392873236052,1.1575867797807684,combined_minimum_variance,combined_minimum_variance,Combined,minimum_variance,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,50.0,0.8097703049436076,0.03520740456276555,23,False,one_way_turnover_times_cost_bps,0.1575867797807684,0.6088631311480195,-0.18092392873236052,0.0,0.0,0.0,Minimum Variance
503,0.1488892398244792,0.07870890756754875,0.07201040246201429,0.1354548547102212,0.5810711453342211,-0.18560556303308107,1.1488892398244792,combined_minimum_variance,combined_minimum_variance_coverage_rank_sentiment,Combined,minimum_variance,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,50.0,1.6871896668151571,0.07335607247022423,23,False,one_way_turnover_times_cost_bps,0.1575867797807684,0.6088631311480195,-0.18092392873236052,-0.00869753995628919,-0.02779198581379838,-0.00468163430072055,Minimum Variance
503,0.15344535881308508,0.08066677448054962,0.07413814647457917,0.13526975183371262,0.5963400788944557,-0.18096304796513307,1.153445358813085,combined_minimum_variance,combined_minimum_variance_naive_sentiment,Combined,minimum_variance,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,50.0,1.2437332183813496,0.05407535732092825,23,False,one_way_turnover_times_cost_bps,0.1575867797807684,0.6088631311480195,-0.18092392873236052,-0.004141420967683329,-0.01252305225356376,-3.911923277255536e-05,Minimum Variance
503,0.21773728554648786,0.11727061815689276,0.10372745387930316,0.19266524805443858,0.6086755101976529,-0.22384241904565572,1.2177372855464879,combined_risk_parity,combined_risk_parity,Combined,risk_parity,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,0.0,0.8200116215788887,0.03565267919908212,23,False,one_way_turnover_times_cost_bps,0.21773728554648786,0.6086755101976529,-0.22384241904565572,0.0,0.0,0.0,Risk Parity
503,0.2107812578879149,0.11419222470926377,0.10056428488833835,0.1915770883755257,0.5960640997185759,-0.21974788253624422,1.210781257887915,combined_risk_parity,combined_risk_parity_coverage_rank_sentiment,Combined,risk_parity,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,1.6015320036900178,0.06963182624739207,23,False,one_way_turnover_times_cost_bps,0.21773728554648786,0.6086755101976529,-0.22384241904565572,-0.00695602765857295,-0.01261141047907699,0.004094536509411495,Risk Parity
503,0.21264357775452436,0.11507754291036365,0.10141203915990848,0.1921793936127944,0.5988027162902981,-0.22008251088927777,1.2126435777545244,combined_risk_parity,combined_risk_parity_naive_sentiment,Combined,risk_parity,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,1.2725158959961425,0.055326778086788805,23,False,one_way_turnover_times_cost_bps,0.21773728554648786,0.6086755101976529,-0.22384241904565572,-0.005093707791963498,-0.009872793907354738,0.0037599081563779446,Risk Parity
